location_tag,business_type,positive_ratio,negative_ratio,neutral_ratio,overall_sentiment,avg_confidence,total_entries,low_confidence
monroe street,coffee shop,1.0,0.0,0.0,0.9833760857582092,0.9833760857582092,1,True
camp randall,late night food,1.0,0.0,0.0,0.9807125329971312,0.9807125329971312,1,True
verona,pharmacy,1.0,0.0,0.0,0.974949836730957,0.974949836730957,1,True
sun prairie,restaurant,1.0,0.0,0.0,0.9675508737564088,0.9675508737564088,1,True
west side,convenience store,1.0,0.0,0.0,0.9570735692977904,0.9570735692977904,1,True
fish hatchery,bar,1.0,0.0,0.0,0.9452530145645142,0.9452530145645142,1,True
verona,bakery,1.0,0.0,0.0,0.9413729310035706,0.9413729310035706,1,True
capitol square,gym,1.0,0.0,0.0,0.9343574643135072,0.9343574643135072,1,True
isthmus,coworking space,1.0,0.0,0.0,0.9257141947746276,0.9257141947746276,1,True
north side,gym,1.0,0.0,0.0,0.9256383776664734,0.9256383776664734,1,True
monona,coffee shop,1.0,0.0,0.0,0.9075408577919006,0.9075408577919006,1,True
camp randall,convenience store,1.0,0.0,0.0,0.8938234448432922,0.8938234448432922,1,True
isthmus,bakery,1.0,0.0,0.0,0.8896471261978149,0.8896471261978149,1,True
verona,bar,1.0,0.0,0.0,0.8685715198516846,0.8685715198516846,1,True
junction,grocery store,1.0,0.0,0.0,0.8416725695133209,0.8416725695133209,2,True
sun prairie,coffee shop,1.0,0.0,0.0,0.8126738667488098,0.8126738667488098,1,True
middleton,restaurant,0.8333333333333334,0.0,0.16666666666666666,0.7915340562661489,0.9252924919128418,6,True
east side,bakery,1.0,0.0,0.0,0.7399829030036926,0.7399829030036926,2,True
hilldale,restaurant,1.0,0.0,0.0,0.7336359024047852,0.7336359024047852,2,True
park street,bakery,1.0,0.0,0.0,0.7222347259521484,0.7222347259521484,1,True
monona,bakery,0.75,0.0,0.25,0.6950143501162529,0.8736264929175377,16,False
capitol square,coffee shop,0.75,0.0,0.25,0.6505415439605713,0.8404020816087723,4,True
camp randall,restaurant,1.0,0.0,0.0,0.6412187218666077,0.6412187218666077,1,True
monroe street,gym,0.6666666666666666,0.0,0.3333333333333333,0.6315827369689941,0.9061731100082397,3,True
fitchburg,restaurant,1.0,0.0,0.0,0.6279228329658508,0.6279228329658508,1,True
verona,general business,1.0,0.0,0.0,0.6193283200263977,0.6193283200263977,1,True
hilldale,gym,1.0,0.0,0.0,0.6126024723052979,0.6126024723052979,1,True
monroe street,convenience store,1.0,0.0,0.0,0.6083486080169678,0.6083486080169678,1,True
monroe street,late night food,0.6666666666666666,0.0,0.3333333333333333,0.6019994417826334,0.8967007795969645,3,True
junction,gym,1.0,0.0,0.0,0.5916265845298767,0.5916265845298767,1,True
east side,coworking space,0.6666666666666666,0.0,0.3333333333333333,0.5709876616795858,0.8584846258163452,3,True
middleton,grocery store,1.0,0.0,0.0,0.5455768704414368,0.5455768704414368,1,True
monroe street,grocery store,0.6,0.0,0.4,0.5291301250457764,0.8462481617927551,5,True
fitchburg,coffee shop,0.5,0.0,0.5,0.4939676523208618,0.8989382386207581,2,True
capitol square,restaurant,0.6666666666666666,0.0,0.3333333333333333,0.4881103237469991,0.6855618556340536,3,True
monroe street,pharmacy,0.6666666666666666,0.0,0.3333333333333333,0.4874587456385295,0.7762613495190939,3,True
marquette,coffee shop,0.5,0.0,0.5,0.4851590692996979,0.849007785320282,2,True
fitchburg,bakery,0.5,0.0,0.5,0.4850343465805054,0.951648235321045,2,True
middleton,bakery,0.5,0.0,0.5,0.4811892509460449,0.8207714855670929,2,True
junction,restaurant,0.5,0.0,0.5,0.4742203056812286,0.8140228986740112,2,True
camp randall,bar,0.6,0.0,0.4,0.4626489281654358,0.8318952560424805,5,True
west side,coffee shop,0.5714285714285714,0.0,0.42857142857142855,0.4609677791595459,0.7513967539582934,7,True
west side,restaurant,0.625,0.08333333333333333,0.2916666666666667,0.45637718463937443,0.7822137934466203,24,False
east washington,coffee shop,0.5,0.0,0.5,0.4355629235506058,0.74178646504879,4,True
cottage grove,bar,0.5,0.0,0.5,0.4339068830013275,0.8283786326646805,4,True
campus,hardware store,0.5,0.0,0.5,0.43054690957069397,0.8165775835514069,2,True
willy street,coffee shop,0.6,0.0,0.4,0.4026461482048035,0.7491794347763061,5,True
east side,restaurant,0.45454545454545453,0.0,0.5454545454545454,0.3901735544204712,0.7615906379439614,22,False
campus,late night food,0.5,0.0,0.5,0.37918946146965027,0.8426169157028198,2,True
monroe street,coworking space,0.5,0.0,0.5,0.3778764307498932,0.6636420786380768,2,True
downtown,convenience store,0.5,0.0,0.5,0.3768414855003357,0.7913953810930252,4,True
camp randall,coffee shop,0.5,0.0,0.5,0.37168359756469727,0.7892856597900391,2,True
monroe street,bar,0.5161290322580645,0.06451612903225806,0.41935483870967744,0.366513830038809,0.7699899260074862,31,False
downtown,bakery,0.6,0.1,0.3,0.36389694213867185,0.7825790882110596,10,False
verona,gym,0.5,0.0,0.5,0.35343044996261597,0.6600744426250458,2,True
north side,general business,0.6,0.2,0.2,0.35219175815582277,0.7750860571861267,5,True
willy street,restaurant,0.4583333333333333,0.08333333333333333,0.4583333333333333,0.34682054072618484,0.8355717211961746,24,False
downtown,restaurant,0.47586206896551725,0.08275862068965517,0.4413793103448276,0.32482581940190547,0.7458151728942477,145,False
middleton,coffee shop,0.3333333333333333,0.0,0.6666666666666666,0.32405787706375117,0.8061100244522095,3,True
downtown,daycare,0.5,0.0,0.5,0.3109483867883682,0.6124472767114639,4,True
downtown,coffee shop,0.4074074074074074,0.1111111111111111,0.48148148148148145,0.30421073569191825,0.7872208632804729,27,False
middleton,gym,0.3333333333333333,0.0,0.6666666666666666,0.29800283908843994,0.7019392848014832,3,True
west side,bakery,0.4,0.0,0.6,0.2885133266448975,0.7172324657440186,5,True
atwood,pharmacy,0.3333333333333333,0.0,0.6666666666666666,0.2871965765953064,0.7416287660598755,3,True
campus,bakery,0.3333333333333333,0.0,0.6666666666666666,0.2831111749013265,0.6619714498519897,3,True
general madison,bakery,0.4913294797687861,0.1791907514450867,0.32947976878612717,0.27589611872772263,0.7725010800223819,173,False
campus,gym,0.5,0.1,0.4,0.27585123777389525,0.6936350405216217,10,False
sun prairie,general business,0.5,0.0,0.5,0.2730337679386139,0.649840772151947,2,True
downtown,grocery store,0.32,0.0,0.68,0.25097941160202025,0.7332605731487274,25,False
willy street,coworking space,0.34375,0.09375,0.5625,0.2390715703368187,0.8026853650808334,32,False
downtown,coworking space,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.23217149823904037,0.7941574330131213,24,False
monroe street,general business,0.41379310344827586,0.06896551724137931,0.5172413793103449,0.231028217693855,0.7065599797100857,29,False
west side,late night food,0.375,0.0,0.625,0.21675413846969604,0.7245615795254707,8,True
atwood,bar,0.34831460674157305,0.12359550561797752,0.5280898876404494,0.20334761999966053,0.7934491908952092,89,False
west side,grocery store,0.25,0.0,0.75,0.20078379412492117,0.7027373636762301,12,False
junction,coffee shop,0.5,0.5,0.0,0.195667564868927,0.7868095636367798,2,True
campus,bar,0.3076923076923077,0.07692307692307693,0.6153846153846154,0.18931123385062584,0.7503484579233023,13,False
monona,grocery store,0.3333333333333333,0.0,0.6666666666666666,0.1845390796661377,0.5383498271306356,3,True
general madison,restaurant,0.3971830985915493,0.2112676056338028,0.39154929577464787,0.18438286260819772,0.7488845277000481,355,False
east washington,restaurant,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.170993619494968,0.7523206737306383,9,True
general madison,coffee shop,0.3882978723404255,0.17553191489361702,0.43617021276595747,0.16959956716349783,0.7395746614387695,188,False
campus,coffee shop,0.25,0.0,0.75,0.16704943776130676,0.6544616222381592,4,True
monona,restaurant,0.2,0.0,0.8,0.16572132110595703,0.692839628458023,5,True
middleton,bar,0.2,0.0,0.8,0.1620664119720459,0.6906497359275818,5,True
campus,restaurant,0.2857142857142857,0.0,0.7142857142857143,0.15805670193263463,0.5917352523122515,7,True
atwood,restaurant,0.2857142857142857,0.09523809523809523,0.6190476190476191,0.15717585881551108,0.800408008552733,21,False
middleton,general business,0.6,0.4,0.0,0.15285181403160092,0.6868363201618195,5,True
fitchburg,gym,0.25,0.0,0.75,0.15238943696022034,0.6568938121199608,4,True
willy street,grocery store,0.3076923076923077,0.15384615384615385,0.5384615384615384,0.1488296458354363,0.6656924233986781,13,False
atwood,general business,0.24444444444444444,0.08888888888888889,0.6666666666666666,0.14510994884702894,0.7223208990361956,45,False
west side,bar,0.3055555555555556,0.1388888888888889,0.5555555555555556,0.14129126541040563,0.7416244687305557,108,False
willy street,bar,0.2978723404255319,0.14893617021276595,0.5531914893617021,0.13833865967202694,0.7713561375090416,47,False
atwood,coffee shop,0.3333333333333333,0.16666666666666666,0.5,0.13452177246411642,0.7722816516955694,6,True
downtown,bar,0.32801822323462415,0.17995444191343962,0.4920273348519362,0.1337044619889357,0.7408411310039511,439,False
downtown,late night food,0.21875,0.09375,0.6875,0.1305570751428604,0.7268215296790004,32,False
isthmus,bar,0.3333333333333333,0.16666666666666666,0.5,0.1263235608736674,0.7711422940095266,6,True
tenney,general business,0.2,0.0,0.8,0.12447476387023926,0.6964072823524475,5,True
east side,general business,0.3037974683544304,0.1518987341772152,0.5443037974683544,0.1234204987936382,0.7288412036775034,79,False
camp randall,general business,0.25,0.25,0.5,0.12145844846963884,0.6869282498955727,4,True
sun prairie,bar,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.10357878605524695,0.7312252124150594,3,True
monroe street,restaurant,0.26666666666666666,0.13333333333333333,0.6,0.1028585433959961,0.8434157292048137,15,False
east washington,grocery store,0.25,0.25,0.5,0.09599724411964417,0.7347706258296967,4,True
campus,grocery store,0.3333333333333333,0.16666666666666666,0.5,0.09492668509483336,0.7853544652462006,6,True
east side,coffee shop,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.09313154220581055,0.7786101869174412,7,True
west side,daycare,0.2,0.2,0.6,0.08897197246551516,0.7417379975318908,5,True
capitol square,late night food,0.5,0.5,0.0,0.08669954538345337,0.7070971131324768,2,True
middleton,pharmacy,0.2727272727272727,0.18181818181818182,0.5454545454545454,0.0803636529228904,0.6992546103217385,11,False
capitol square,bar,0.25,0.25,0.5,0.06790074706077576,0.7145889401435852,4,True
downtown,gym,0.20512820512820512,0.15384615384615385,0.6410256410256411,0.05277950488604032,0.706589210491914,39,False
junction,pharmacy,0.2,0.2,0.6,0.05159274339675903,0.7976237416267395,5,True
downtown,general business,0.2524084778420039,0.2023121387283237,0.5452793834296724,0.05121607593258911,0.723340403482404,519,False
east side,bar,0.25274725274725274,0.21978021978021978,0.5274725274725275,0.028607856441330123,0.7450876150812421,91,False
general madison,late night food,0.30357142857142855,0.30357142857142855,0.39285714285714285,0.026202000677585602,0.7391337140330246,56,False
west side,urgent care,0.5,0.5,0.0,0.012119650840759277,0.6365085244178772,2,True
campus,general business,0.23809523809523808,0.21428571428571427,0.5476190476190477,0.009291125195366996,0.6847315593844369,42,False
capitol square,coworking space,0.0,0.0,1.0,0.0,0.6681573987007141,1,True
west side,coworking space,0.0,0.0,1.0,0.0,0.76701520383358,4,True
capitol square,urgent care,0.0,0.0,1.0,0.0,0.665304958820343,1,True
monroe street,bakery,0.0,0.0,1.0,0.0,0.8240222930908203,1,True
east side,urgent care,0.0,0.0,1.0,0.0,0.7227514982223511,2,True
marquette,restaurant,0.0,0.0,1.0,0.0,0.9496946334838868,1,True
atwood,gym,0.0,0.0,1.0,0.0,0.6985794305801392,2,True
sun prairie,pharmacy,0.0,0.0,1.0,0.0,0.5014542937278748,1,True
vilas,bar,0.0,0.0,1.0,0.0,0.8533128499984741,1,True
verona,restaurant,0.0,0.0,1.0,0.0,0.5742564797401428,1,True
atwood,urgent care,0.0,0.0,1.0,0.0,0.7220779061317444,2,True
camp randall,bakery,0.0,0.0,1.0,0.0,0.7841866612434387,1,True
verona,coffee shop,0.0,0.0,1.0,0.0,0.649202823638916,1,True
waunakee,general business,0.0,0.0,1.0,0.0,0.684102455774943,3,True
tenney,coffee shop,0.0,0.0,1.0,0.0,0.6842732429504395,1,True
camp randall,urgent care,0.0,0.0,1.0,0.0,0.5261685848236084,1,True
atwood,late night food,0.0,0.0,1.0,0.0,0.8043442815542221,4,True
campus,daycare,0.0,0.0,1.0,0.0,0.940886616706848,1,True
sun prairie,daycare,0.0,0.0,1.0,0.0,0.605846107006073,1,True
south side,general business,0.0,0.0,1.0,0.0,0.672633022069931,2,True
south side,bakery,0.0,0.0,1.0,0.0,0.9201607704162598,1,True
park street,coworking space,0.0,0.0,1.0,0.0,0.7127484679222107,1,True
campus,convenience store,0.0,0.0,1.0,0.0,0.8935574889183044,1,True
north side,restaurant,0.0,0.0,1.0,0.0,0.7745001912117004,1,True
north side,late night food,0.0,0.0,1.0,0.0,0.7998959422111511,1,True
monona,coworking space,0.0,0.0,1.0,0.0,0.5128817558288574,2,True
monona,general business,0.0,0.0,1.0,0.0,0.6325750052928925,2,True
vilas,daycare,0.0,0.0,1.0,0.0,0.5534713268280029,1,True
cottage grove,urgent care,0.0,0.0,1.0,0.0,0.8854931592941284,1,True
isthmus,grocery store,0.0,0.0,1.0,0.0,0.6587581634521484,1,True
atwood,coworking space,0.0,0.0,1.0,0.0,0.8007954657077789,2,True
fitchburg,coworking space,0.0,0.0,1.0,0.0,0.8215934634208679,1,True
west side,gym,0.0,0.0,1.0,0.0,0.727702283859253,10,False
fitchburg,bar,0.0,0.0,1.0,0.0,0.6424916982650757,2,True
fish hatchery,gym,0.0,0.0,1.0,0.0,0.8020377159118652,1,True
hilldale,bar,0.0,0.0,1.0,0.0,0.4775194525718689,1,True
east side,pharmacy,0.0,0.0,1.0,0.0,0.6610862910747528,2,True
east side,daycare,0.0,0.0,1.0,0.0,0.9009281992912292,1,True
east side,convenience store,0.0,0.0,1.0,0.0,0.7244021495183309,3,True
isthmus,coffee shop,0.0,0.0,1.0,0.0,0.8419305682182312,1,True
isthmus,general business,0.0,0.0,1.0,0.0,0.6614621400833129,5,True
isthmus,late night food,0.0,0.0,1.0,0.0,0.8768313527107239,1,True
willy street,bakery,0.0,0.0,1.0,0.0,0.8134667277336121,1,True
willy street,pharmacy,0.0,0.0,1.0,0.0,0.8235372304916382,1,True
east washington,daycare,0.0,0.0,1.0,0.0,0.9105361104011536,1,True
atwood,grocery store,0.0,0.0,1.0,0.0,0.4832413494586944,1,True
east washington,coworking space,0.0,0.0,1.0,0.0,0.9184898734092712,2,True
marquette,bar,0.0,0.0,1.0,0.0,0.6282980144023895,2,True
downtown,hardware store,0.0,0.0,1.0,0.0,0.7182881683111191,4,True
west side,hardware store,0.0,0.0,1.0,0.0,0.5483179092407227,1,True
east washington,convenience store,0.0,0.0,1.0,0.0,0.6163522005081177,1,True
vilas,late night food,0.0,0.0,1.0,0.0,0.7728737592697144,1,True
deforest,gym,0.0,0.0,1.0,0.0,0.7894518971443176,1,True
deforest,coworking space,0.0,0.0,1.0,0.0,0.8588771820068359,1,True
fitchburg,late night food,0.0,0.0,1.0,0.0,0.6718310713768005,1,True
east washington,bar,0.1694915254237288,0.23728813559322035,0.5932203389830508,-0.014810423729783398,0.7409918055696002,59,False
willy street,general business,0.17391304347826086,0.2391304347826087,0.5869565217391305,-0.0171465348938237,0.7316591098256733,46,False
capitol square,general business,0.25,0.25,0.5,-0.019388005137443542,0.7246991097927094,8,True
general madison,gym,0.216,0.264,0.52,-0.02080321180820465,0.7177889597415924,250,False
fitchburg,pharmacy,0.2,0.3,0.5,-0.023650479316711426,0.7433837741613388,10,False
west side,general business,0.19166666666666668,0.24166666666666667,0.5666666666666667,-0.026855408151944475,0.7093695198496183,120,False
downtown,pharmacy,0.125,0.125,0.75,-0.02820289134979248,0.7760093957185745,8,True
east washington,pharmacy,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.03812094529469808,0.6999963919321696,3,True
general madison,bar,0.2135523613963039,0.29774127310061604,0.4887063655030801,-0.04076003030829851,0.7079724482197536,487,False
east side,late night food,0.2,0.2,0.6,-0.04879739284515381,0.7818094849586487,5,True
general madison,hardware store,0.2,0.2,0.6,-0.0499691367149353,0.6834346055984497,5,True
campus,coworking space,0.16666666666666666,0.25,0.5833333333333334,-0.05418255925178528,0.7272360026836395,12,False
willy street,late night food,0.2857142857142857,0.42857142857142855,0.2857142857142857,-0.05980860335486277,0.807387147630964,7,True
east washington,general business,0.0851063829787234,0.2127659574468085,0.7021276595744681,-0.08015781577597274,0.7124896918205504,47,False
general madison,coworking space,0.10344827586206896,0.2413793103448276,0.6551724137931034,-0.0867814195567164,0.7110315890147768,29,False
hilldale,general business,0.14285714285714285,0.2857142857142857,0.5714285714285714,-0.09240671566554479,0.7048732468060085,7,True
general madison,general business,0.16886543535620052,0.3113456464379947,0.5197889182058048,-0.09347891721058647,0.6895916796139488,379,False
east side,gym,0.2,0.4,0.4,-0.09519949555397034,0.6642167329788208,10,False
west side,pharmacy,0.5,0.5,0.0,-0.11336575448513031,0.5838188678026199,2,True
general madison,grocery store,0.18137254901960784,0.36764705882352944,0.45098039215686275,-0.12490329277866027,0.7034354871686768,204,False
general madison,pharmacy,0.2,0.4125,0.3875,-0.1450338985770941,0.7292234228923917,160,False
deforest,bar,0.0,0.3333333333333333,0.6666666666666666,-0.16494404276212057,0.7010205090045929,3,True
east side,grocery store,0.0,0.25,0.75,-0.18258734047412872,0.8247517645359039,4,True
general madison,convenience store,0.13559322033898305,0.423728813559322,0.4406779661016949,-0.18906338033029588,0.7086813389244726,59,False
monona,gym,0.0,0.5,0.5,-0.25054240226745605,0.6352097988128662,2,True
general madison,urgent care,0.13043478260869565,0.5217391304347826,0.34782608695652173,-0.2701982389325681,0.6869882915330969,23,False
vilas,general business,0.0,0.5,0.5,-0.29564496874809265,0.6141003668308258,2,True
general madison,daycare,0.0,0.4,0.6,-0.30572052001953126,0.7365741848945617,5,True
marquette,general business,0.0,0.5,0.5,-0.35806742310523987,0.7150770425796509,2,True
campus,urgent care,0.0,0.5,0.5,-0.4074295163154602,0.7553194165229797,2,True
atwood,convenience store,0.0,0.5,0.5,-0.44064512848854065,0.8980096578598022,2,True
sun prairie,grocery store,0.0,0.6666666666666666,0.3333333333333333,-0.4457866946856181,0.6242504715919495,3,True
fitchburg,general business,0.0,0.6666666666666666,0.3333333333333333,-0.46016093095143634,0.6213469008604685,3,True
east washington,late night food,0.0,0.6666666666666666,0.3333333333333333,-0.473832905292511,0.7704776724179586,3,True
downtown,urgent care,0.0,0.6666666666666666,0.3333333333333333,-0.49327478806177777,0.7068774501482645,9,True
sun prairie,gym,0.0,1.0,0.0,-0.5157047510147095,0.5157047510147095,1,True
camp randall,gym,0.0,1.0,0.0,-0.5345057249069214,0.5345057249069214,1,True
atwood,hardware store,0.0,1.0,0.0,-0.5375238656997681,0.5375238656997681,1,True
monona,urgent care,0.0,1.0,0.0,-0.5390380620956421,0.5390380620956421,1,True
junction,general business,0.0,1.0,0.0,-0.6001901030540466,0.6001901030540466,1,True
east washington,hardware store,0.0,1.0,0.0,-0.6203780174255371,0.6203780174255371,1,True
east washington,urgent care,0.0,1.0,0.0,-0.6324350237846375,0.6324350237846375,1,True
willy street,convenience store,0.0,1.0,0.0,-0.6644454002380371,0.6644454002380371,1,True
east washington,gym,0.0,1.0,0.0,-0.6727653741836548,0.6727653741836548,2,True
willy street,gym,0.0,1.0,0.0,-0.7097033262252808,0.7097033262252808,1,True
monona,hardware store,0.0,1.0,0.0,-0.7854911684989929,0.7854911684989929,1,True
monroe street,urgent care,0.0,1.0,0.0,-0.8037773370742798,0.8037773370742798,1,True
monona,pharmacy,0.0,1.0,0.0,-0.855805516242981,0.855805516242981,1,True
